Interval start timestamp: 2020-12-25T00:00:00.000Z
Interval end timestamp: 2021-01-01T00:00:00.000Z
Interval start block: 11519440
Interval end block: 11565019
Interval total rewards: 4249428480000000000000000 KEEP

Rewards weight sum 208886975721588692178861
Total rewards sum 3276877990435664598345680
┌─────────┬──────────────────────────────────────────────┬──────────────┬──────────────────────────┬───────────────────────┬────────────────────────────┬─────────────────────┬─────────────────────────────────┬─────────────┬─────────────────┬───────────┬────────────────┬────────────────────┬──────────────┬─────────────┬──────────────┬───────────┬─────────────┬──────────────┬───────────┬───────────┬────────┬──────────────┬──────────────┐
│ (index) │                   operator                   │ isFraudulent │ factoryAuthorizedAtStart │ poolAuthorizedAtStart │ poolDeauthorizedInInterval │ minimumStakeAtStart │ poolRequirementFulfilledAtStart │ keygenCount │ keygenFailCount │ keygenSLA │ signatureCount │ signatureFailCount │ signatureSLA │ SLAViolated │  keepStaked  │ ethBonded │ ethUnbonded │ ethWithdrawn │ ethTotal  │ ethScore  │ boost  │ rewardWeight │ totalRewards │
│   55    │ '0x44f07be8D08a7Ec1b4BDB92685dA64C02622CFc5' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       1        │         0          │     100      │    false    │ '1010095.00' │ '206.64'  │   '10.49'   │    '0.00'    │ '217.13'  │ '217.13'  │ '4.05' │   '879.42'   │  '17890.27'  │
│   56    │ '0x3101927DEeC27A2bfA6c4a6316e3A221f631dB91' │    false     │           true           │         true          │           false            │        true         │              true               │      7      │        1        │    85     │       8        │         0          │     100      │    false    │ '598400.00'  │ '309.93'  │   '1.05'    │    '0.00'    │ '310.98'  │ '310.98'  │ '2.96' │   '921.05'   │  '18737.03'  │
│   57    │ '0x884e30892B185330478D0D18d0aE665113B98027' │    false     │           true           │         true          │           false            │        true         │              true               │      5      │        2        │    60     │       8        │         0          │     100      │    true     │ '647600.00'  │ '305.07'  │   '13.72'   │    '0.00'    │ '318.79'  │ '318.79'  │ '3.02' │   '961.36'   │    '0.00'    │
│   58    │ '0x6e9D6BA71C5c313cc4d22791720943D65A5495da' │    false     │           true           │         true          │           false            │        true         │              true               │      2      │        0        │    100    │       2        │         0          │     100      │    false    │ '133000.00'  │  '55.85'  │   '27.15'   │    '0.00'    │  '83.00'  │  '83.00'  │ '2.79' │   '231.59'   │  '4711.21'   │
│   59    │ '0x0ebB4fA9Dabe68Ad18E845d1f915010203e16191' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       1        │         0          │     100      │    false    │  '90000.00'  │  '17.52'  │   '8.43'    │    '0.00'    │  '25.95'  │  '25.95'  │ '2.29' │   '59.32'    │  '1206.66'   │
│   60    │ '0xe26E2d93Bbc8fde0e1E3B290Fc927Fb374E7e34e' │    false     │           true           │         true          │           false            │        true         │              true               │      5      │        0        │    100    │       2        │         0          │     100      │    false    │ '700000.00'  │ '107.69'  │   '9.08'    │    '0.00'    │ '116.77'  │ '116.77'  │ '4.46' │   '521.10'   │  '10600.82'  │
│   61    │ '0x5d84DEB482E770479154028788Df79aA7C563aA4' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       1        │         0          │     100      │    false    │ '399370.00'  │  '37.46'  │   '12.44'   │    '0.00'    │  '49.90'  │  '49.90'  │ '5.00' │   '249.54'   │  '5076.54'   │
│   62    │ '0x3a0495aD7EFdAe541455846fFe4a6D3858211C4E' │    false     │           true           │         true          │           false            │        true         │              true               │     45      │        3        │    93     │       34       │         1          │      97      │    false    │ '1191459.00' │ '5824.80' │   '28.24'   │    '0.00'    │ '5853.04' │ '5380.72' │ '1.64' │  '8813.96'   │ '179304.18'  │
│   63    │ '0x65aB6C2262bf24973D746D18af1794dA52183187' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       2        │         0          │     100      │    false    │  '90000.00'  │ '142.45'  │   '3.82'    │    '0.00'    │ '146.27'  │ '146.27'  │ '2.11' │   '308.52'   │  '6276.37'   │
│   64    │ '0x78c0eF874Df6cb2cD7E724bdF3Ce68f431b79748' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       2        │         0          │     100      │    false    │ '116009.00'  │ '107.88'  │   '10.78'   │    '0.00'    │ '118.66'  │ '118.66'  │ '2.40' │   '284.58'   │  '5789.36'   │
